	Malot_ClotildeMartory_0	Malot_ClotildeMartory_1	Malot_ClotildeMartory_2	Malot_ClotildeMartory_3	Malot_ClotildeMartory_4	Malot_ClotildeMartory_5	Malot_ClotildeMartory_6	Malot_ClotildeMartory_7	Malot_ClotildeMartory_8	Malot_ClotildeMartory_9	Malot_ClotildeMartory_10	Malot_ClotildeMartory_11	Malot_ClotildeMartory_sum
ceux_PRO:DEM_celui	2.0	0.0	3.0	2.0	2.0	5.0	3.0	5.0	4.0	4.0	1.0	0.0	31.0
maison_NOM_maison	5.0	5.0	3.0	1.0	7.0	2.0	3.0	3.0	1.0	0.0	1.0	0.0	31.0
soir_NOM_soir	5.0	3.0	1.0	1.0	0.0	2.0	3.0	7.0	4.0	1.0	2.0	2.0	31.0
père_NOM_père	10.0	7.0	4.0	0.0	1.0	2.0	1.0	0.0	0.0	2.0	3.0	0.0	30.0
chaque_PRO:IND_chaque	2.0	3.0	2.0	2.0	1.0	2.0	9.0	3.0	1.0	3.0	1.0	1.0	30.0
parler_VER:infi_parler	3.0	2.0	4.0	3.0	1.0	1.0	1.0	4.0	6.0	1.0	3.0	1.0	30.0
près_ADV_près	4.0	1.0	4.0	2.0	4.0	2.0	3.0	3.0	1.0	1.0	3.0	1.0	29.0
jours_NOM_jour	2.0	3.0	5.0	1.0	6.0	1.0	0.0	2.0	3.0	1.0	3.0	2.0	29.0
peut-être_ADV_peut-être	2.0	3.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0	7.0	2.0	0.0	29.0
Mexique_NAM_Mexique	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	11.0	3.0	29.0
voulez_VER:pres_vouloir	2.0	1.0	3.0	6.0	1.0	3.0	1.0	1.0	5.0	5.0	0.0	0.0	28.0
nouvelle_ADJ_nouveau	2.0	1.0	2.0	2.0	0.0	1.0	2.0	1.0	12.0	2.0	3.0	0.0	28.0
porte_NOM_porte	2.0	3.0	1.0	3.0	2.0	0.0	1.0	4.0	1.0	0.0	11.0	0.0	28.0
visite_NOM_visite	0.0	1.0	0.0	6.0	8.0	2.0	6.0	2.0	2.0	0.0	1.0	0.0	28.0
mains_NOM_main	2.0	4.0	2.0	1.0	6.0	0.0	1.0	9.0	2.0	0.0	1.0	0.0	28.0
tête_NOM_tête	1.0	2.0	2.0	4.0	0.0	3.0	4.0	6.0	2.0	0.0	4.0	0.0	28.0
venir_VER:infi_venir	5.0	1.0	4.0	5.0	3.0	2.0	1.0	2.0	2.0	3.0	0.0	0.0	28.0
madame_NOM_madame	6.0	1.0	1.0	2.0	3.0	4.0	1.0	3.0	0.0	2.0	5.0	0.0	28.0
matin_NOM_matin	5.0	3.0	2.0	2.0	0.0	1.0	4.0	3.0	1.0	3.0	2.0	2.0	28.0
gens_NOM_gens	6.0	2.0	4.0	1.0	2.0	4.0	2.0	3.0	2.0	0.0	0.0	2.0	28.0
toutes_PRO:IND_tout	1.0	3.0	0.0	4.0	4.0	2.0	3.0	2.0	6.0	3.0	0.0	0.0	28.0
souvent_ADV_souvent	1.0	2.0	4.0	2.0	3.0	1.0	4.0	1.0	5.0	2.0	1.0	2.0	28.0
sommes_VER:pres_sommer|être	2.0	0.0	3.0	1.0	9.0	1.0	7.0	3.0	0.0	1.0	0.0	0.0	27.0
celui_PRO:DEM_celui	1.0	0.0	1.0	3.0	1.0	5.0	3.0	4.0	5.0	2.0	0.0	2.0	27.0
leurs_DET:POS_leur	1.0	6.0	1.0	2.0	2.0	5.0	2.0	4.0	0.0	0.0	4.0	0.0	27.0
vers_PRP_vers	4.0	1.0	3.0	6.0	5.0	1.0	1.0	2.0	0.0	1.0	3.0	0.0	27.0
affaire_NOM_affaire	2.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	4.0	12.0	3.0	0.0	27.0
te_PRO:PER_te	1.0	10.0	4.0	0.0	0.0	0.0	2.0	0.0	4.0	4.0	2.0	0.0	27.0
cinq_NUM_cinq	2.0	2.0	2.0	1.0	1.0	2.0	6.0	1.0	5.0	2.0	2.0	1.0	27.0
travail_NOM_travail	1.0	5.0	8.0	2.0	0.0	4.0	5.0	0.0	1.0	0.0	1.0	0.0	27.0
fait_VER:pres_faire	2.0	1.0	5.0	0.0	1.0	4.0	5.0	0.0	4.0	2.0	2.0	0.0	26.0
nom_NOM_nom	1.0	1.0	2.0	0.0	2.0	5.0	1.0	4.0	2.0	6.0	1.0	1.0	26.0
ans_NOM_an	3.0	5.0	0.0	1.0	1.0	5.0	3.0	1.0	1.0	2.0	3.0	1.0	26.0
non_ADV_non	2.0	3.0	2.0	3.0	3.0	0.0	2.0	2.0	1.0	4.0	3.0	1.0	26.0
raison_NOM_raison	5.0	3.0	1.0	4.0	4.0	2.0	0.0	2.0	3.0	0.0	2.0	0.0	26.0
doute_NOM_doute	2.0	4.0	0.0	3.0	1.0	1.0	1.0	5.0	2.0	2.0	5.0	0.0	26.0
-moi_PRO:PER_moi	4.0	2.0	1.0	5.0	3.0	3.0	2.0	1.0	3.0	2.0	0.0	0.0	26.0
pouvait_VER:impf_pouvoir	0.0	1.0	2.0	2.0	1.0	2.0	3.0	1.0	4.0	5.0	4.0	1.0	26.0
longtemps_ADV_longtemps	2.0	3.0	3.0	1.0	1.0	2.0	5.0	3.0	2.0	2.0	2.0	0.0	26.0
entre_PRP_entre	4.0	0.0	1.0	2.0	2.0	1.0	2.0	4.0	4.0	1.0	5.0	0.0	26.0
côté_NOM_côté	3.0	1.0	5.0	2.0	5.0	2.0	4.0	1.0	2.0	0.0	1.0	0.0	26.0
Que_KON_que	1.0	4.0	0.0	3.0	0.0	0.0	3.0	5.0	3.0	3.0	4.0	0.0	26.0
seul_ADJ_seul	4.0	4.0	0.0	1.0	4.0	2.0	2.0	2.0	1.0	2.0	4.0	0.0	26.0
voulu_VER:pper_vouloir	3.0	1.0	2.0	6.0	2.0	2.0	3.0	2.0	2.0	2.0	0.0	1.0	26.0
pris_VER:pper_prendre	1.0	1.0	7.0	2.0	2.0	1.0	2.0	3.0	1.0	0.0	5.0	1.0	26.0
dis_VER:pres_dire	3.0	1.0	4.0	2.0	1.0	3.0	1.0	6.0	1.0	2.0	1.0	0.0	25.0
idée_NOM_idée	1.0	2.0	1.0	0.0	1.0	10.0	0.0	1.0	3.0	5.0	0.0	1.0	25.0
lieu_NOM_lieu	0.0	1.0	2.0	5.0	0.0	1.0	3.0	3.0	1.0	2.0	6.0	1.0	25.0
chose_NOM_chose	1.0	3.0	1.0	2.0	4.0	5.0	1.0	4.0	2.0	0.0	2.0	0.0	25.0
lettre_NOM_lettre	6.0	3.0	1.0	0.0	2.0	0.0	4.0	2.0	0.0	0.0	6.0	1.0	25.0
En_PRP_en	0.0	4.0	2.0	3.0	1.0	2.0	1.0	5.0	2.0	3.0	2.0	0.0	25.0
jeune_ADJ_jeune	9.0	0.0	1.0	5.0	4.0	1.0	4.0	0.0	0.0	0.0	1.0	0.0	25.0
vais_VER:pres_aller	2.0	0.0	3.0	2.0	7.0	0.0	3.0	4.0	2.0	1.0	1.0	0.0	25.0
place_NOM_place	1.0	7.0	1.0	3.0	2.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	25.0
position_NOM_position	2.0	1.0	0.0	3.0	0.0	4.0	2.0	2.0	4.0	6.0	1.0	0.0	25.0
Quand_KON_quand	0.0	4.0	4.0	3.0	0.0	3.0	4.0	0.0	1.0	1.0	4.0	1.0	25.0
elles_PRO:PER_elle	1.0	0.0	0.0	2.0	1.0	1.0	5.0	0.0	6.0	5.0	2.0	1.0	24.0
armée_NOM_armée	0.0	2.0	0.0	0.0	1.0	1.0	0.0	8.0	0.0	5.0	4.0	3.0	24.0
général_ADJ_général	5.0	5.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	4.0	4.0	0.0	24.0
ami_NOM_ami	3.0	0.0	0.0	3.0	1.0	4.0	5.0	1.0	5.0	1.0	1.0	0.0	24.0
L'_DET:ART_le	1.0	1.0	1.0	1.0	5.0	6.0	3.0	3.0	2.0	0.0	1.0	0.0	24.0
comment_ADV_comment	2.0	0.0	3.0	1.0	3.0	3.0	2.0	1.0	1.0	2.0	6.0	0.0	24.0
autrefois_ADV_autrefois	3.0	2.0	3.0	6.0	3.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	24.0
fallait_VER:impf_falloir	1.0	2.0	2.0	1.0	2.0	1.0	0.0	2.0	3.0	4.0	5.0	1.0	24.0
loin_ADV_loin	1.0	1.0	1.0	6.0	0.0	2.0	3.0	3.0	4.0	1.0	1.0	0.0	23.0
contre_PRP_contre	2.0	3.0	2.0	5.0	1.0	1.0	6.0	0.0	0.0	0.0	2.0	1.0	23.0
dit-il_NOM_dit-il	2.0	4.0	0.0	0.0	4.0	2.0	2.0	1.0	3.0	4.0	0.0	1.0	23.0
bon_ADJ_bon	1.0	0.0	2.0	0.0	2.0	5.0	4.0	1.0	2.0	5.0	1.0	0.0	23.0
très_ADV_très	2.0	3.0	2.0	3.0	1.0	5.0	1.0	2.0	0.0	3.0	1.0	0.0	23.0
bonne_ADJ_bon	3.0	0.0	2.0	0.0	4.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	23.0
grand_ADJ_grand	2.0	6.0	2.0	2.0	1.0	4.0	1.0	4.0	0.0	0.0	1.0	0.0	23.0
Mon_DET:POS_mon	3.0	1.0	2.0	3.0	2.0	3.0	1.0	1.0	2.0	3.0	1.0	1.0	23.0
vrai_ADJ_vrai	2.0	0.0	6.0	1.0	4.0	3.0	0.0	1.0	3.0	2.0	1.0	0.0	23.0
situation_NOM_situation	0.0	1.0	0.0	1.0	3.0	1.0	0.0	4.0	6.0	5.0	2.0	0.0	23.0
M_VER:subi_M	3.0	0.0	0.0	1.0	2.0	2.0	2.0	7.0	4.0	0.0	1.0	0.0	22.0
heureux_ADJ_heureux	2.0	2.0	2.0	3.0	2.0	4.0	4.0	1.0	1.0	0.0	1.0	0.0	22.0
dix_NUM_dix	0.0	2.0	2.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0	4.0	0.0	22.0
table_NOM_table	2.0	1.0	2.0	4.0	4.0	5.0	1.0	2.0	0.0	0.0	0.0	1.0	22.0
pouvais_VER:impf_pouvoir	2.0	2.0	2.0	1.0	2.0	1.0	3.0	1.0	4.0	2.0	2.0	0.0	22.0
étions_VER:impf_être	2.0	1.0	2.0	3.0	1.0	0.0	1.0	1.0	2.0	4.0	4.0	1.0	22.0
Pourquoi_ADV_pourquoi	2.0	1.0	1.0	2.0	5.0	2.0	2.0	5.0	0.0	1.0	1.0	0.0	22.0
regard_NOM_regard	5.0	0.0	2.0	4.0	4.0	1.0	4.0	1.0	1.0	0.0	0.0	0.0	22.0
France_NAM_France	1.0	1.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	4.0	8.0	1.0	22.0
certain_PRO:IND_certain	1.0	2.0	2.0	0.0	5.0	3.0	3.0	1.0	0.0	2.0	2.0	1.0	22.0
choses_NOM_chose	2.0	1.0	0.0	2.0	2.0	3.0	2.0	1.0	3.0	4.0	1.0	1.0	22.0
savez_VER:pres_savoir	3.0	0.0	1.0	3.0	2.0	2.0	2.0	3.0	2.0	3.0	0.0	0.0	21.0
contraire_NOM_contraire	1.0	0.0	0.0	4.0	5.0	2.0	4.0	0.0	3.0	1.0	1.0	0.0	21.0
attendre_VER:infi_attendre	5.0	0.0	1.0	2.0	1.0	3.0	2.0	1.0	3.0	2.0	1.0	0.0	21.0
impossible_ADJ_impossible	5.0	2.0	2.0	2.0	2.0	0.0	2.0	0.0	3.0	1.0	1.0	1.0	21.0
cependant_ADV_cependant	1.0	1.0	0.0	1.0	4.0	1.0	2.0	2.0	5.0	1.0	3.0	0.0	21.0
parce_KON_parce	1.0	1.0	9.0	4.0	3.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	21.0
vu_VER:pper_voir	0.0	1.0	2.0	0.0	4.0	6.0	0.0	3.0	0.0	0.0	4.0	1.0	21.0
esprit_NOM_esprit	2.0	3.0	2.0	0.0	3.0	2.0	2.0	2.0	2.0	3.0	0.0	0.0	21.0
t'_PRO:PER_te	1.0	1.0	1.0	2.0	4.0	1.0	1.0	0.0	3.0	3.0	2.0	2.0	21.0
salon_NOM_salon	6.0	1.0	0.0	0.0	7.0	3.0	0.0	2.0	0.0	1.0	0.0	0.0	20.0
eux_PRO:PER_eux	1.0	2.0	3.0	0.0	2.0	5.0	1.0	1.0	2.0	1.0	1.0	1.0	20.0
question_NOM_question	1.0	0.0	1.0	1.0	1.0	3.0	3.0	1.0	4.0	3.0	2.0	0.0	20.0
enfin_ADV_enfin	2.0	3.0	2.0	1.0	2.0	2.0	3.0	1.0	2.0	1.0	1.0	0.0	20.0
donner_VER:infi_donner	5.0	1.0	0.0	4.0	2.0	0.0	0.0	1.0	1.0	0.0	4.0	2.0	20.0
Comment_ADV_comment	2.0	2.0	1.0	1.0	1.0	2.0	2.0	4.0	2.0	0.0	3.0	0.0	20.0
Pour_PRP_pour	2.0	1.0	1.0	0.0	1.0	3.0	2.0	1.0	1.0	8.0	0.0	0.0	20.0
un_NOM_un	1.0	1.0	1.0	3.0	3.0	1.0	3.0	0.0	0.0	6.0	0.0	0.0	19.0
déjà_ADV_déjà	1.0	3.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	4.0	1.0	19.0
ici_ADV_ici	3.0	1.0	0.0	6.0	2.0	2.0	4.0	0.0	1.0	0.0	0.0	0.0	19.0
pourquoi_ADV_pourquoi	5.0	2.0	0.0	2.0	0.0	3.0	0.0	2.0	2.0	1.0	2.0	0.0	19.0
raisons_NOM_raison	0.0	2.0	1.0	3.0	2.0	1.0	0.0	2.0	0.0	7.0	1.0	0.0	19.0
fit_VER:simp_faire	2.0	1.0	1.0	1.0	3.0	0.0	2.0	2.0	2.0	2.0	3.0	0.0	19.0
force_NOM_force	1.0	2.0	4.0	6.0	1.0	1.0	1.0	0.0	0.0	2.0	1.0	0.0	19.0
mettre_VER:infi_mettre	3.0	2.0	2.0	1.0	1.0	0.0	2.0	1.0	5.0	1.0	1.0	0.0	19.0
voulait_VER:impf_vouloir	3.0	1.0	0.0	3.0	1.0	0.0	0.0	1.0	2.0	7.0	1.0	0.0	19.0
aujourd'hui_ADV_aujourd'hui	2.0	2.0	2.0	3.0	2.0	0.0	4.0	0.0	1.0	3.0	0.0	0.0	19.0
beaucoup_ADV_beaucoup	0.0	1.0	2.0	1.0	1.0	4.0	5.0	1.0	1.0	2.0	1.0	0.0	19.0
abord_NOM_abord	2.0	2.0	1.0	0.0	1.0	4.0	3.0	0.0	2.0	2.0	2.0	0.0	19.0
Marseille_NAM_Marseille	8.0	6.0	2.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
serais_VER:cond_être	1.0	4.0	2.0	4.0	1.0	3.0	0.0	1.0	2.0	0.0	1.0	0.0	19.0
mieux_ADV_mieux	1.0	5.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	4.0	0.0	1.0	19.0
devais_VER:impf_devoir	2.0	1.0	2.0	0.0	2.0	0.0	2.0	3.0	1.0	2.0	3.0	1.0	19.0
fenêtre_NOM_fenêtre	0.0	0.0	1.0	3.0	0.0	0.0	4.0	1.0	0.0	0.0	9.0	1.0	19.0
rester_VER:infi_rester	1.0	2.0	1.0	2.0	1.0	0.0	6.0	1.0	0.0	3.0	2.0	0.0	19.0
voix_NOM_voix	4.0	3.0	1.0	1.0	2.0	0.0	4.0	1.0	2.0	0.0	1.0	0.0	19.0
journée_NOM_journée	4.0	2.0	0.0	0.0	0.0	2.0	6.0	3.0	0.0	0.0	0.0	1.0	18.0
demander_VER:infi_demander	2.0	2.0	0.0	1.0	2.0	1.0	0.0	1.0	2.0	5.0	2.0	0.0	18.0
Cela_PRO:DEM_cela	0.0	3.0	2.0	1.0	0.0	4.0	1.0	2.0	3.0	1.0	1.0	0.0	18.0
laquelle_PRO:REL_lequel	4.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	3.0	3.0	1.0	0.0	18.0
réalité_NOM_réalité	0.0	1.0	2.0	2.0	1.0	0.0	1.0	4.0	5.0	1.0	1.0	0.0	18.0
vite_ADV_vite	0.0	3.0	2.0	0.0	0.0	0.0	2.0	2.0	3.0	3.0	3.0	0.0	18.0
aimer_VER:infi_aimer	1.0	0.0	2.0	9.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	18.0
argent_NOM_argent	3.0	0.0	1.0	0.0	0.0	6.0	0.0	1.0	1.0	3.0	3.0	0.0	18.0
trouver_VER:infi_trouver	1.0	4.0	1.0	1.0	2.0	1.0	1.0	0.0	2.0	2.0	2.0	1.0	18.0
vivre_VER:infi_vivre	0.0	5.0	4.0	3.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	18.0
besoin_NOM_besoin	1.0	3.0	0.0	2.0	1.0	1.0	2.0	0.0	3.0	3.0	1.0	1.0	18.0
va_VER:pres_aller	1.0	1.0	1.0	0.0	2.0	1.0	1.0	2.0	6.0	0.0	0.0	3.0	18.0
toute_PRO:IND_tout	2.0	2.0	1.0	0.0	0.0	2.0	6.0	0.0	1.0	1.0	3.0	0.0	18.0
savoir_VER:infi_savoir	0.0	1.0	0.0	1.0	0.0	2.0	2.0	2.0	4.0	3.0	2.0	1.0	18.0
grande_ADJ_grand	3.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	4.0	2.0	0.0	1.0	17.0
Guillaume_NAM_Guillaume	2.0	0.0	0.0	9.0	3.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	17.0
Un_DET:ART_un	1.0	2.0	0.0	1.0	2.0	3.0	2.0	0.0	1.0	2.0	3.0	0.0	17.0
paroles_NOM_parole	3.0	0.0	0.0	3.0	5.0	1.0	0.0	0.0	2.0	1.0	2.0	0.0	17.0
aimais_VER:impf_aimer	2.0	1.0	1.0	8.0	2.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	17.0
ailleurs_ADV_ailleurs	4.0	1.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	17.0
fait_NOM_fait	2.0	0.0	2.0	0.0	3.0	0.0	2.0	1.0	4.0	0.0	3.0	0.0	17.0
arrivé_VER:pper_arriver	0.0	2.0	1.0	1.0	0.0	4.0	2.0	0.0	4.0	1.0	2.0	0.0	17.0
rien_NOM_rien	0.0	1.0	2.0	1.0	3.0	2.0	0.0	2.0	3.0	2.0	0.0	1.0	17.0
premier_NUM_premier	2.0	2.0	0.0	1.0	0.0	1.0	3.0	1.0	3.0	2.0	1.0	1.0	17.0
bonheur_NOM_bonheur	1.0	2.0	2.0	2.0	2.0	0.0	4.0	1.0	1.0	1.0	1.0	0.0	17.0
avant_PRP_avant	3.0	2.0	1.0	0.0	2.0	0.0	1.0	2.0	2.0	0.0	4.0	0.0	17.0
pays_NOM_pays	1.0	2.0	1.0	0.0	1.0	3.0	1.0	1.0	0.0	3.0	3.0	1.0	17.0
accepter_VER:infi_accepter	3.0	3.0	0.0	0.0	0.0	3.0	0.0	1.0	1.0	4.0	2.0	0.0	17.0
Sans_PRP_sans	2.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	0.0	17.0
dois_VER:pres_devoir	2.0	1.0	0.0	3.0	1.0	0.0	3.0	1.0	0.0	5.0	0.0	1.0	17.0
rue_NOM_rue	0.0	2.0	9.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	17.0
nuit_NOM_nuit	5.0	1.0	1.0	2.0	0.0	1.0	0.0	2.0	0.0	1.0	1.0	2.0	16.0
Pendant_PRP_pendant	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	2.0	1.0	2.0	0.0	16.0
Eh_INT_eh	1.0	2.0	0.0	0.0	3.0	4.0	0.0	2.0	2.0	1.0	1.0	0.0	16.0
chambre_NOM_chambre	0.0	1.0	2.0	0.0	1.0	0.0	3.0	3.0	0.0	0.0	6.0	0.0	16.0
première_NUM_premier	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	2.0	1.0	0.0	16.0
Puis_ADV_puis	3.0	1.0	3.0	2.0	1.0	1.0	2.0	2.0	0.0	0.0	1.0	0.0	16.0
qu'_ADV_qu'	1.0	2.0	1.0	0.0	1.0	3.0	1.0	0.0	3.0	2.0	2.0	0.0	16.0
Au_PRP:det_au	1.0	3.0	0.0	1.0	1.0	1.0	2.0	0.0	2.0	4.0	1.0	0.0	16.0
milieu_NOM_milieu	0.0	1.0	1.0	1.0	4.0	0.0	2.0	5.0	0.0	0.0	2.0	0.0	16.0
quelque_PRO:IND_quelque	3.0	2.0	1.0	0.0	3.0	1.0	1.0	3.0	0.0	0.0	2.0	0.0	16.0
donné_VER:pper_donner	1.0	1.0	1.0	0.0	2.0	3.0	0.0	0.0	3.0	3.0	1.0	1.0	16.0
enfant_NOM_enfant	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	4.0	4.0	0.0	16.0
lettres_NOM_lettre	3.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	5.0	0.0	15.0
ta_DET:POS_ton	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	4.0	0.0	15.0
amis_NOM_ami	0.0	1.0	1.0	0.0	1.0	4.0	1.0	4.0	1.0	1.0	1.0	0.0	15.0
ton_DET:POS_ton	0.0	2.0	1.0	1.0	0.0	0.0	2.0	1.0	3.0	4.0	1.0	0.0	15.0
dîner_NOM_dîner	1.0	0.0	3.0	0.0	3.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	15.0
tant_ADV_tant	3.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	4.0	1.0	4.0	0.0	15.0
air_NOM_air	1.0	0.0	3.0	0.0	1.0	1.0	2.0	4.0	0.0	0.0	1.0	2.0	15.0
crois_VER:pres_croire	2.0	3.0	1.0	0.0	0.0	0.0	2.0	3.0	1.0	2.0	1.0	0.0	15.0
volonté_NOM_volonté	1.0	1.0	2.0	2.0	0.0	0.0	3.0	1.0	4.0	1.0	0.0	0.0	15.0
demande_VER:pres_demander	0.0	3.0	2.0	0.0	0.0	4.0	3.0	0.0	1.0	2.0	0.0	0.0	15.0
point_NOM_point	2.0	1.0	3.0	2.0	3.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	15.0
..._PUN_...	0.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	1.0	15.0
devait_VER:impf_devoir	0.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	4.0	1.0	2.0	0.0	15.0
liberté_NOM_liberté	3.0	2.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	1.0	2.0	0.0	15.0
plusieurs_PRO:IND_plusieurs	1.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	3.0	1.0	0.0	2.0	15.0
Comme_KON_comme	3.0	2.0	0.0	1.0	1.0	0.0	5.0	2.0	0.0	0.0	0.0	1.0	15.0
malheur_NOM_malheur	4.0	2.0	2.0	1.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	15.0
hasard_NOM_hasard	0.0	1.0	0.0	0.0	2.0	3.0	3.0	3.0	0.0	1.0	0.0	1.0	14.0
vivement_ADV_vivement	1.0	3.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	1.0	3.0	0.0	14.0
plaisir_NOM_plaisir	2.0	2.0	1.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	14.0
partir_VER:infi_partir	2.0	3.0	0.0	1.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	0.0	14.0
troupes_NOM_troupe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	5.0	3.0	14.0
Cependant_ADV_cependant	0.0	0.0	1.0	0.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	0.0	14.0
vint_VER:simp_venir	4.0	0.0	0.0	1.0	4.0	1.0	0.0	2.0	0.0	0.0	1.0	1.0	14.0
État_NAM_État	1.0	0.0	1.0	0.0	0.0	5.0	0.0	2.0	1.0	3.0	0.0	1.0	14.0
effet_NOM_effet	0.0	3.0	1.0	0.0	1.0	0.0	1.0	2.0	3.0	2.0	1.0	0.0	14.0
libre_ADJ_libre	3.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	14.0
livre_NOM_livre	0.0	2.0	2.0	0.0	7.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	14.0
-tu_PRO:PER_tu	0.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	0.0	0.0	0.0	14.0
possible_ADJ_possible	3.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	1.0	0.0	14.0
puisque_KON_puisque	2.0	1.0	0.0	4.0	0.0	0.0	0.0	2.0	3.0	0.0	1.0	1.0	14.0
genre_NOM_genre	1.0	1.0	1.0	1.0	1.0	1.0	3.0	0.0	1.0	1.0	3.0	0.0	14.0
laisser_VER:infi_laisser	3.0	1.0	1.0	2.0	3.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	14.0
vos_DET:POS_votre	0.0	0.0	0.0	1.0	1.0	5.0	2.0	4.0	0.0	1.0	0.0	0.0	14.0
hôtel_NOM_hôtel	0.0	0.0	3.0	2.0	4.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	14.0
seule_ADJ_seul	0.0	0.0	2.0	2.0	1.0	1.0	3.0	0.0	2.0	2.0	1.0	0.0	14.0
Dans_PRP_dans	0.0	0.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	3.0	0.0	14.0
résolution_NOM_résolution	1.0	3.0	0.0	2.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	14.0
moyen_NOM_moyen	1.0	3.0	1.0	2.0	0.0	2.0	0.0	0.0	2.0	3.0	0.0	0.0	14.0
Maintenant_ADV_maintenant	1.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	4.0	1.0	1.0	14.0
joie_NOM_joie	1.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	14.0
Non_ADV_non	2.0	0.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	1.0	0.0	0.0	14.0
chercher_VER:infi_chercher	1.0	1.0	0.0	1.0	3.0	1.0	2.0	3.0	0.0	1.0	1.0	0.0	14.0
rêve_NOM_rêve	1.0	2.0	2.0	4.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	0.0	14.0
peine_NOM_peine	1.0	1.0	1.0	1.0	0.0	2.0	2.0	2.0	3.0	0.0	1.0	0.0	14.0
mots_NOM_mot	6.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	13.0
Cassis_NAM_Cassis	3.0	8.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	13.0
voyais_VER:impf_voir	0.0	1.0	1.0	3.0	1.0	4.0	0.0	0.0	2.0	1.0	0.0	0.0	13.0
allai_VER:simp_aller	1.0	1.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	2.0	2.0	0.0	13.0
mouvement_NOM_mouvement	1.0	1.0	1.0	1.0	0.0	2.0	1.0	0.0	3.0	1.0	1.0	1.0	13.0
prince_NOM_prince	2.0	0.0	0.0	0.0	6.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0
surtout_ADV_surtout	1.0	3.0	3.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	0.0	13.0
mien_PRO:POS_mien	1.0	2.0	0.0	0.0	2.0	1.0	2.0	3.0	0.0	1.0	0.0	1.0	13.0
