	Malot_Ghislaine_0	Malot_Ghislaine_1	Malot_Ghislaine_2	Malot_Ghislaine_3	Malot_Ghislaine_4	Malot_Ghislaine_5	Malot_Ghislaine_6	Malot_Ghislaine_7	Malot_Ghislaine_8	Malot_Ghislaine_9	Malot_Ghislaine_10	Malot_Ghislaine_11	Malot_Ghislaine_12	Malot_Ghislaine_13	Malot_Ghislaine_14	Malot_Ghislaine_15	Malot_Ghislaine_16	Malot_Ghislaine_17	Malot_Ghislaine_18	Malot_Ghislaine_19	Malot_Ghislaine_20	Malot_Ghislaine_21	Malot_Ghislaine_22	Malot_Ghislaine_sum
là_ADV_là	2.0	4.0	3.0	5.0	4.0	4.0	4.0	8.0	5.0	4.0	4.0	5.0	7.0	6.0	4.0	3.0	4.0	2.0	5.0	5.0	4.0	8.0	2.0	102.0
donc_ADV_donc	3.0	6.0	0.0	2.0	6.0	3.0	4.0	4.0	8.0	5.0	6.0	5.0	3.0	6.0	3.0	4.0	6.0	3.0	6.0	6.0	10.0	1.0	2.0	102.0
celui_PRO:DEM_celui	5.0	3.0	6.0	1.0	2.0	1.0	4.0	5.0	3.0	3.0	4.0	3.0	6.0	8.0	8.0	1.0	2.0	3.0	10.0	7.0	6.0	7.0	3.0	101.0
fois_NOM_fois	2.0	6.0	2.0	3.0	9.0	2.0	7.0	6.0	6.0	7.0	6.0	7.0	3.0	1.0	3.0	5.0	7.0	4.0	5.0	1.0	2.0	5.0	0.0	99.0
oncle_NOM_oncle	13.0	14.0	0.0	3.0	1.0	10.0	4.0	9.0	8.0	8.0	6.0	4.0	2.0	4.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	1.0	4.0	99.0
«_PUN:cit_«	1.0	3.0	3.0	0.0	10.0	1.0	15.0	5.0	2.0	3.0	4.0	4.0	2.0	2.0	9.0	7.0	0.0	2.0	5.0	3.0	11.0	4.0	3.0	99.0
père_NOM_père	2.0	6.0	4.0	0.0	2.0	3.0	2.0	5.0	4.0	0.0	5.0	10.0	4.0	8.0	10.0	0.0	6.0	3.0	2.0	5.0	13.0	4.0	1.0	99.0
deux_NUM_deux	3.0	5.0	7.0	4.0	8.0	2.0	1.0	1.0	1.0	7.0	2.0	3.0	6.0	3.0	3.0	1.0	5.0	7.0	11.0	6.0	4.0	6.0	2.0	98.0
fait_VER:pper_faire	4.0	9.0	6.0	5.0	2.0	9.0	3.0	2.0	3.0	4.0	5.0	5.0	6.0	2.0	2.0	2.0	3.0	2.0	3.0	5.0	4.0	4.0	8.0	98.0
encore_ADV_encore	4.0	3.0	3.0	6.0	7.0	2.0	7.0	5.0	3.0	6.0	7.0	3.0	4.0	4.0	4.0	4.0	4.0	6.0	1.0	4.0	2.0	8.0	1.0	98.0
Ce_PRO:DEM_ce	2.0	4.0	5.0	2.0	6.0	3.0	7.0	7.0	3.0	10.0	0.0	2.0	5.0	6.0	6.0	3.0	4.0	5.0	5.0	1.0	1.0	8.0	2.0	97.0
fallait_VER:impf_falloir	0.0	1.0	4.0	0.0	9.0	5.0	4.0	6.0	8.0	4.0	3.0	3.0	3.0	4.0	5.0	8.0	4.0	5.0	3.0	8.0	4.0	4.0	1.0	96.0
moins_ADV_moins	0.0	4.0	7.0	2.0	4.0	4.0	8.0	3.0	8.0	3.0	3.0	5.0	12.0	2.0	3.0	6.0	3.0	4.0	4.0	2.0	4.0	5.0	0.0	96.0
même_ADV_même	3.0	2.0	2.0	0.0	5.0	3.0	3.0	7.0	2.0	6.0	12.0	8.0	3.0	2.0	12.0	7.0	6.0	1.0	2.0	4.0	3.0	2.0	0.0	95.0
te_PRO:PER_te	11.0	7.0	0.0	2.0	4.0	10.0	2.0	5.0	6.0	9.0	7.0	9.0	4.0	2.0	1.0	6.0	2.0	4.0	0.0	0.0	0.0	0.0	4.0	95.0
leur_DET:POS_leur	7.0	3.0	3.0	3.0	2.0	2.0	5.0	6.0	4.0	7.0	14.0	3.0	6.0	2.0	3.0	1.0	4.0	4.0	6.0	1.0	2.0	2.0	5.0	95.0
mère_NOM_mère	3.0	10.0	2.0	0.0	1.0	1.0	3.0	6.0	6.0	1.0	4.0	13.0	3.0	7.0	8.0	1.0	2.0	2.0	0.0	11.0	9.0	1.0	0.0	94.0
..._PUN_...	7.0	3.0	3.0	2.0	7.0	16.0	6.0	1.0	5.0	7.0	1.0	5.0	1.0	2.0	5.0	3.0	3.0	3.0	2.0	3.0	5.0	2.0	2.0	94.0
ni_KON_ni	7.0	0.0	3.0	0.0	1.0	4.0	6.0	4.0	10.0	4.0	4.0	5.0	0.0	3.0	2.0	2.0	0.0	8.0	9.0	6.0	9.0	5.0	1.0	93.0
avaient_VER:impf_avoir	1.0	12.0	1.0	2.0	0.0	4.0	5.0	8.0	4.0	6.0	8.0	1.0	4.0	1.0	5.0	3.0	9.0	6.0	5.0	2.0	2.0	3.0	0.0	92.0
devait_VER:impf_devoir	1.0	1.0	3.0	3.0	10.0	3.0	4.0	4.0	1.0	1.0	6.0	4.0	6.0	3.0	8.0	5.0	5.0	2.0	8.0	5.0	4.0	5.0	0.0	92.0
femme_NOM_femme	5.0	4.0	2.0	10.0	8.0	1.0	1.0	8.0	1.0	8.0	5.0	3.0	5.0	1.0	2.0	1.0	1.0	6.0	2.0	7.0	5.0	2.0	3.0	91.0
-ce_PRO:DEM_ce	2.0	2.0	1.0	4.0	4.0	4.0	5.0	3.0	5.0	2.0	1.0	12.0	4.0	10.0	4.0	3.0	8.0	1.0	4.0	1.0	6.0	2.0	2.0	90.0
mari_NOM_mari	2.0	9.0	1.0	0.0	0.0	0.0	4.0	0.0	3.0	8.0	2.0	7.0	3.0	0.0	2.0	8.0	6.0	6.0	7.0	11.0	4.0	1.0	4.0	88.0
avez_VER:pres_avoir	6.0	5.0	2.0	2.0	1.0	4.0	4.0	0.0	3.0	5.0	0.0	1.0	0.0	3.0	1.0	1.0	8.0	9.0	3.0	12.0	10.0	4.0	4.0	88.0
chez_PRP_chez	1.0	2.0	4.0	2.0	2.0	8.0	2.0	5.0	0.0	1.0	14.0	7.0	3.0	3.0	5.0	3.0	5.0	4.0	6.0	2.0	2.0	5.0	0.0	86.0
prendre_VER:infi_prendre	3.0	2.0	7.0	3.0	5.0	4.0	0.0	2.0	3.0	0.0	4.0	5.0	3.0	1.0	3.0	2.0	7.0	9.0	6.0	2.0	5.0	5.0	4.0	85.0
t'_PRO:PER_te	2.0	5.0	0.0	1.0	8.0	6.0	8.0	1.0	9.0	11.0	6.0	14.0	4.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	85.0
ans_NOM_an	8.0	8.0	3.0	1.0	0.0	0.0	0.0	2.0	5.0	2.0	6.0	4.0	8.0	4.0	3.0	6.0	7.0	2.0	3.0	2.0	4.0	5.0	2.0	85.0
À_PRP_à	0.0	5.0	2.0	4.0	6.0	9.0	5.0	6.0	3.0	3.0	2.0	1.0	4.0	4.0	4.0	5.0	3.0	3.0	3.0	2.0	4.0	4.0	2.0	84.0
aurait_VER:cond_avoir	2.0	0.0	9.0	2.0	3.0	5.0	4.0	6.0	1.0	1.0	2.0	4.0	3.0	3.0	5.0	4.0	4.0	6.0	3.0	3.0	7.0	6.0	1.0	84.0
homme_NOM_homme	1.0	3.0	7.0	6.0	3.0	6.0	2.0	3.0	4.0	1.0	0.0	3.0	7.0	3.0	7.0	3.0	5.0	1.0	2.0	4.0	2.0	4.0	6.0	83.0
tout_PRO:IND_tout	3.0	2.0	5.0	2.0	2.0	1.0	1.0	4.0	9.0	7.0	0.0	6.0	3.0	3.0	7.0	3.0	3.0	4.0	2.0	4.0	8.0	4.0	0.0	83.0
Soupert_NAM_soupert	4.0	0.0	16.0	10.0	9.0	2.0	0.0	0.0	3.0	0.0	0.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	82.0
voir_VER:infi_voir	2.0	2.0	1.0	2.0	3.0	5.0	3.0	7.0	7.0	4.0	4.0	4.0	6.0	3.0	1.0	6.0	2.0	4.0	3.0	6.0	2.0	5.0	0.0	82.0
cet_PRO:DEM_ce	4.0	3.0	2.0	7.0	5.0	9.0	2.0	5.0	3.0	1.0	4.0	5.0	6.0	4.0	2.0	2.0	4.0	2.0	2.0	4.0	3.0	1.0	2.0	82.0
suis_VER:pres_suivre|être	6.0	2.0	1.0	6.0	5.0	7.0	4.0	1.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	6.0	2.0	4.0	8.0	3.0	1.0	3.0	81.0
yeux_NOM_œil	4.0	1.0	4.0	4.0	2.0	3.0	4.0	2.0	4.0	7.0	2.0	8.0	3.0	4.0	2.0	9.0	1.0	5.0	3.0	3.0	2.0	2.0	2.0	81.0
jour_NOM_jour	6.0	7.0	4.0	2.0	4.0	6.0	3.0	4.0	9.0	2.0	5.0	5.0	2.0	1.0	2.0	6.0	3.0	1.0	2.0	0.0	2.0	1.0	3.0	80.0
car_KON_car	1.0	3.0	3.0	1.0	6.0	3.0	5.0	4.0	0.0	2.0	2.0	2.0	5.0	4.0	6.0	5.0	0.0	4.0	7.0	4.0	5.0	6.0	1.0	79.0
M_NOM_m	11.0	7.0	2.0	0.0	2.0	5.0	1.0	6.0	6.0	5.0	3.0	2.0	3.0	5.0	0.0	3.0	4.0	2.0	0.0	3.0	3.0	3.0	2.0	78.0
devant_PRP_devant	2.0	1.0	1.0	5.0	4.0	8.0	3.0	2.0	0.0	1.0	0.0	6.0	4.0	3.0	4.0	8.0	5.0	3.0	4.0	4.0	8.0	2.0	0.0	78.0
alors_ADV_alors	0.0	3.0	5.0	2.0	4.0	3.0	3.0	2.0	1.0	6.0	2.0	0.0	4.0	4.0	2.0	3.0	4.0	4.0	6.0	4.0	3.0	9.0	3.0	77.0
notaire_NOM_notaire	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	8.0	0.0	1.0	0.0	17.0	30.0	15.0	1.0	76.0
petite_ADJ_petit	4.0	2.0	1.0	3.0	5.0	2.0	0.0	4.0	3.0	2.0	11.0	9.0	9.0	4.0	3.0	0.0	0.0	1.0	1.0	2.0	8.0	1.0	1.0	76.0
eu_VER:pper_avoir	3.0	2.0	3.0	4.0	8.0	2.0	2.0	4.0	1.0	0.0	3.0	6.0	4.0	3.0	6.0	2.0	3.0	1.0	1.0	4.0	4.0	6.0	3.0	75.0
»_PUN:cit_»	1.0	3.0	3.0	0.0	10.0	1.0	2.0	5.0	2.0	3.0	4.0	4.0	2.0	2.0	7.0	5.0	0.0	2.0	5.0	3.0	4.0	4.0	3.0	75.0
depuis_PRP_depuis	1.0	5.0	2.0	6.0	0.0	0.0	3.0	5.0	4.0	2.0	5.0	6.0	7.0	3.0	2.0	4.0	1.0	1.0	8.0	3.0	1.0	3.0	3.0	75.0
madame_NOM_madame	1.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	2.0	2.0	9.0	0.0	4.0	2.0	5.0	6.0	11.0	11.0	10.0	1.0	74.0
dit_VER:pper_dire	1.0	5.0	1.0	1.0	4.0	4.0	6.0	2.0	1.0	4.0	4.0	2.0	2.0	10.0	0.0	4.0	3.0	0.0	1.0	5.0	6.0	3.0	4.0	73.0
Quand_KON_quand	6.0	1.0	5.0	1.0	3.0	1.0	2.0	6.0	3.0	1.0	4.0	5.0	7.0	1.0	1.0	6.0	4.0	2.0	5.0	2.0	3.0	3.0	0.0	72.0
dit_VER:pres_dire	13.0	1.0	3.0	4.0	1.0	2.0	1.0	1.0	2.0	4.0	3.0	1.0	3.0	5.0	2.0	0.0	2.0	1.0	1.0	9.0	4.0	6.0	3.0	72.0
comme_ADV_comme	6.0	1.0	6.0	1.0	5.0	4.0	2.0	5.0	1.0	5.0	4.0	3.0	2.0	0.0	3.0	3.0	2.0	3.0	2.0	3.0	4.0	3.0	3.0	71.0
point_ADV_point	1.0	4.0	1.0	5.0	4.0	6.0	2.0	3.0	2.0	3.0	5.0	4.0	5.0	3.0	6.0	4.0	3.0	2.0	1.0	2.0	2.0	3.0	0.0	71.0
-même_ADJ_même	4.0	3.0	2.0	2.0	2.0	2.0	4.0	2.0	3.0	3.0	4.0	3.0	3.0	1.0	6.0	3.0	2.0	5.0	6.0	4.0	1.0	4.0	2.0	71.0
quelques_PRO:IND_quelque	4.0	1.0	2.0	5.0	1.0	1.0	7.0	4.0	1.0	6.0	3.0	0.0	5.0	5.0	4.0	0.0	3.0	4.0	5.0	0.0	4.0	4.0	1.0	70.0
celle_PRO:DEM_celui	3.0	0.0	7.0	2.0	2.0	1.0	0.0	3.0	4.0	4.0	5.0	9.0	4.0	3.0	3.0	3.0	1.0	2.0	3.0	4.0	2.0	5.0	0.0	70.0
elles_PRO:PER_elle	0.0	2.0	0.0	2.0	2.0	0.0	4.0	9.0	3.0	1.0	0.0	2.0	1.0	5.0	6.0	6.0	1.0	3.0	12.0	4.0	0.0	4.0	0.0	67.0
mariage_NOM_mariage	3.0	9.0	1.0	0.0	2.0	3.0	3.0	0.0	11.0	14.0	3.0	2.0	0.0	2.0	2.0	1.0	5.0	0.0	0.0	2.0	2.0	1.0	0.0	66.0
château_NOM_château	0.0	7.0	10.0	3.0	5.0	2.0	2.0	0.0	3.0	0.0	2.0	2.0	8.0	10.0	2.0	3.0	5.0	0.0	1.0	1.0	0.0	0.0	0.0	66.0
Si_KON_si	7.0	2.0	2.0	3.0	3.0	6.0	3.0	0.0	5.0	2.0	3.0	1.0	3.0	3.0	2.0	3.0	5.0	1.0	1.0	3.0	2.0	5.0	0.0	65.0
trop_ADV_trop	2.0	1.0	7.0	2.0	0.0	1.0	4.0	5.0	2.0	4.0	2.0	2.0	2.0	2.0	7.0	4.0	6.0	3.0	1.0	3.0	1.0	1.0	3.0	65.0
M_VER:pper_m	11.0	1.0	1.0	2.0	1.0	3.0	6.0	3.0	8.0	4.0	3.0	1.0	1.0	4.0	1.0	2.0	1.0	0.0	0.0	3.0	8.0	1.0	0.0	65.0
doute_NOM_doute	3.0	1.0	0.0	0.0	4.0	4.0	4.0	5.0	3.0	1.0	2.0	3.0	1.0	4.0	0.0	9.0	3.0	3.0	6.0	1.0	4.0	1.0	2.0	64.0
fût_VER:subi_être	0.0	4.0	6.0	3.0	4.0	5.0	1.0	4.0	2.0	2.0	3.0	2.0	4.0	2.0	0.0	5.0	2.0	4.0	3.0	1.0	4.0	2.0	1.0	64.0
ton_DET:POS_ton	3.0	4.0	0.0	1.0	1.0	7.0	2.0	6.0	5.0	11.0	0.0	10.0	2.0	0.0	1.0	4.0	4.0	2.0	0.0	0.0	0.0	0.0	1.0	64.0
vie_NOM_vie	5.0	2.0	3.0	1.0	2.0	1.0	5.0	5.0	7.0	5.0	3.0	4.0	4.0	0.0	1.0	1.0	4.0	3.0	3.0	3.0	0.0	1.0	1.0	64.0
heures_NOM_heure	3.0	2.0	9.0	1.0	13.0	0.0	2.0	0.0	3.0	0.0	4.0	0.0	1.0	0.0	4.0	3.0	1.0	3.0	0.0	3.0	3.0	6.0	3.0	64.0
dit-il_NOM_dit-il	6.0	0.0	1.0	4.0	2.0	4.0	3.0	0.0	0.0	3.0	0.0	2.0	4.0	4.0	0.0	3.0	3.0	6.0	4.0	5.0	3.0	5.0	1.0	63.0
quelque_PRO:IND_quelque	1.0	4.0	2.0	2.0	4.0	4.0	8.0	3.0	1.0	2.0	7.0	3.0	0.0	4.0	2.0	2.0	2.0	3.0	1.0	3.0	2.0	3.0	0.0	63.0
main_NOM_main	1.0	2.0	0.0	3.0	2.0	8.0	2.0	0.0	2.0	1.0	3.0	3.0	8.0	1.0	1.0	2.0	0.0	2.0	5.0	5.0	5.0	3.0	4.0	63.0
dire_VER:infi_dire	3.0	4.0	1.0	3.0	5.0	8.0	5.0	3.0	3.0	4.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	3.0	1.0	4.0	2.0	4.0	2.0	63.0
Alors_ADV_alors	3.0	2.0	1.0	3.0	3.0	2.0	0.0	3.0	4.0	4.0	1.0	2.0	5.0	4.0	3.0	7.0	6.0	1.0	2.0	4.0	1.0	1.0	1.0	63.0
nom_NOM_nom	2.0	3.0	2.0	0.0	0.0	3.0	1.0	3.0	7.0	1.0	0.0	0.0	1.0	3.0	2.0	0.0	1.0	2.0	4.0	11.0	9.0	7.0	0.0	62.0
perles_NOM_perle	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	21.0	35.0	2.0	0.0	0.0	1.0	62.0
La_DET:ART_le	5.0	1.0	4.0	6.0	2.0	3.0	3.0	1.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	6.0	1.0	0.0	3.0	3.0	2.0	2.0	1.0	62.0
voulait_VER:impf_vouloir	4.0	4.0	2.0	0.0	6.0	0.0	1.0	7.0	4.0	2.0	4.0	1.0	1.0	1.0	5.0	3.0	3.0	1.0	4.0	1.0	3.0	2.0	2.0	61.0
cœur_NOM_cœur	5.0	4.0	3.0	1.0	0.0	4.0	5.0	2.0	4.0	7.0	4.0	6.0	1.0	1.0	3.0	4.0	3.0	0.0	1.0	0.0	1.0	0.0	2.0	61.0
non_ADV_non	1.0	3.0	2.0	2.0	2.0	1.0	4.0	2.0	2.0	3.0	2.0	2.0	4.0	2.0	3.0	5.0	3.0	2.0	1.0	4.0	4.0	2.0	4.0	60.0
autres_ADJ_autre	3.0	2.0	6.0	1.0	1.0	4.0	1.0	1.0	3.0	5.0	4.0	0.0	5.0	3.0	5.0	2.0	2.0	3.0	4.0	3.0	0.0	1.0	1.0	60.0
tête_NOM_tête	0.0	1.0	6.0	6.0	1.0	8.0	3.0	0.0	5.0	2.0	4.0	2.0	3.0	2.0	5.0	2.0	0.0	0.0	4.0	0.0	1.0	4.0	1.0	60.0
jeune_ADJ_jeune	4.0	4.0	8.0	1.0	3.0	4.0	2.0	6.0	2.0	12.0	0.0	1.0	1.0	5.0	0.0	0.0	1.0	0.0	2.0	1.0	3.0	0.0	0.0	60.0
chambre_NOM_chambre	1.0	9.0	2.0	11.0	19.0	5.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	2.0	59.0
cependant_ADV_cependant	1.0	1.0	1.0	5.0	2.0	3.0	2.0	5.0	3.0	2.0	2.0	1.0	0.0	5.0	2.0	5.0	1.0	4.0	4.0	1.0	4.0	3.0	1.0	58.0
toutes_PRO:IND_tout	2.0	2.0	3.0	2.0	2.0	4.0	3.0	8.0	1.0	4.0	3.0	3.0	1.0	0.0	1.0	0.0	4.0	5.0	4.0	0.0	3.0	3.0	0.0	58.0
toi_PRO:PER_toi	3.0	4.0	0.0	2.0	4.0	5.0	2.0	3.0	6.0	3.0	1.0	11.0	5.0	0.0	1.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	58.0
avant_PRP_avant	1.0	1.0	3.0	7.0	4.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0	4.0	3.0	2.0	3.0	58.0
coup_NOM_coup	3.0	2.0	4.0	2.0	2.0	1.0	2.0	1.0	3.0	3.0	3.0	3.0	3.0	2.0	1.0	4.0	2.0	4.0	2.0	4.0	2.0	1.0	3.0	57.0
porte_NOM_porte	1.0	1.0	0.0	8.0	14.0	6.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	1.0	3.0	3.0	0.0	3.0	5.0	1.0	1.0	2.0	56.0
mot_NOM_mot	2.0	2.0	1.0	1.0	1.0	3.0	1.0	0.0	5.0	3.0	1.0	6.0	3.0	2.0	6.0	1.0	7.0	0.0	3.0	3.0	3.0	1.0	1.0	56.0
lieu_NOM_lieu	1.0	2.0	4.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	4.0	1.0	2.0	2.0	3.0	4.0	2.0	1.0	5.0	0.0	4.0	7.0	1.0	56.0
pas_NOM_pas	1.0	1.0	2.0	4.0	3.0	3.0	0.0	3.0	4.0	3.0	1.0	4.0	6.0	3.0	1.0	2.0	5.0	2.0	2.0	1.0	4.0	1.0	0.0	56.0
après_PRP_après	0.0	2.0	4.0	3.0	6.0	2.0	1.0	4.0	4.0	1.0	3.0	1.0	6.0	0.0	1.0	2.0	4.0	2.0	3.0	3.0	2.0	1.0	1.0	56.0
maintenant_ADV_maintenant	2.0	1.0	3.0	2.0	3.0	2.0	5.0	3.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	4.0	3.0	3.0	3.0	3.0	0.0	55.0
entre_PRP_entre	1.0	2.0	5.0	1.0	5.0	5.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	1.0	0.0	1.0	2.0	2.0	2.0	5.0	3.0	2.0	1.0	55.0
trouver_VER:infi_trouver	3.0	1.0	5.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	0.0	3.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0	1.0	4.0	2.0	55.0
près_ADV_près	1.0	1.0	5.0	1.0	3.0	2.0	2.0	5.0	2.0	1.0	1.0	1.0	3.0	3.0	3.0	5.0	5.0	1.0	4.0	1.0	1.0	3.0	0.0	54.0
monde_NOM_monde	0.0	4.0	4.0	0.0	1.0	2.0	2.0	5.0	2.0	11.0	5.0	2.0	2.0	4.0	1.0	1.0	0.0	2.0	2.0	2.0	1.0	0.0	1.0	54.0
assez_ADV_assez	2.0	1.0	5.0	5.0	0.0	3.0	2.0	7.0	1.0	1.0	0.0	5.0	1.0	3.0	1.0	2.0	4.0	3.0	0.0	2.0	2.0	4.0	0.0	54.0
sont_VER:pres_être	3.0	4.0	3.0	0.0	3.0	1.0	3.0	1.0	1.0	2.0	2.0	0.0	2.0	2.0	1.0	0.0	1.0	5.0	5.0	8.0	2.0	5.0	0.0	54.0
côté_NOM_côté	1.0	4.0	2.0	3.0	1.0	0.0	1.0	1.0	0.0	2.0	4.0	3.0	1.0	2.0	3.0	3.0	0.0	3.0	3.0	3.0	5.0	6.0	2.0	53.0
amour_NOM_amour	0.0	0.0	1.0	7.0	9.0	6.0	4.0	2.0	2.0	7.0	2.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	6.0	53.0
Tu_PRO:PER_tu	2.0	5.0	0.0	5.0	5.0	2.0	5.0	4.0	1.0	4.0	2.0	8.0	2.0	1.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	53.0
sous_PRP_sous	2.0	4.0	1.0	2.0	0.0	0.0	1.0	4.0	2.0	2.0	2.0	3.0	4.0	0.0	1.0	3.0	5.0	2.0	5.0	2.0	4.0	2.0	2.0	53.0
tous_PRO:IND_tout	5.0	4.0	3.0	0.0	2.0	2.0	1.0	4.0	2.0	3.0	5.0	4.0	2.0	2.0	1.0	1.0	1.0	4.0	4.0	2.0	1.0	0.0	0.0	53.0
-tu_PRO:PER_tu	4.0	2.0	0.0	0.0	8.0	0.0	2.0	2.0	7.0	6.0	2.0	3.0	4.0	1.0	1.0	6.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	52.0
toute_PRO:IND_tout	1.0	0.0	2.0	4.0	4.0	1.0	2.0	2.0	2.0	3.0	6.0	5.0	3.0	1.0	0.0	4.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	51.0
enfin_ADV_enfin	4.0	2.0	1.0	1.0	4.0	4.0	2.0	2.0	2.0	4.0	2.0	3.0	1.0	1.0	0.0	2.0	2.0	3.0	3.0	3.0	3.0	0.0	2.0	51.0
mieux_ADV_mieux	5.0	3.0	0.0	3.0	1.0	0.0	2.0	3.0	4.0	3.0	1.0	3.0	5.0	0.0	5.0	0.0	1.0	3.0	0.0	5.0	0.0	4.0	0.0	51.0
trouvait_VER:impf_trouver	0.0	2.0	5.0	4.0	3.0	3.0	2.0	3.0	3.0	0.0	1.0	4.0	3.0	0.0	2.0	3.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	50.0
que_ADV_que	1.0	1.0	3.0	3.0	2.0	0.0	4.0	0.0	2.0	4.0	3.0	2.0	0.0	5.0	2.0	3.0	2.0	3.0	1.0	5.0	0.0	1.0	3.0	50.0
comment_ADV_comment	3.0	3.0	3.0	3.0	2.0	3.0	2.0	2.0	6.0	3.0	2.0	2.0	1.0	1.0	2.0	4.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	50.0
ainsi_ADV_ainsi	1.0	3.0	1.0	2.0	2.0	3.0	1.0	2.0	2.0	4.0	2.0	3.0	1.0	0.0	0.0	3.0	6.0	5.0	3.0	1.0	3.0	0.0	2.0	50.0
-là_ADV_là	3.0	4.0	2.0	2.0	2.0	0.0	1.0	0.0	3.0	0.0	1.0	3.0	4.0	5.0	2.0	2.0	2.0	3.0	7.0	2.0	0.0	1.0	1.0	50.0
suite_NOM_suite	1.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	5.0	1.0	1.0	4.0	7.0	1.0	2.0	1.0	50.0
collier_NOM_collier	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	29.0	1.0	0.0	0.0	1.0	50.0
parler_VER:infi_parler	0.0	2.0	1.0	3.0	4.0	2.0	3.0	2.0	0.0	5.0	3.0	1.0	3.0	4.0	1.0	1.0	5.0	1.0	2.0	2.0	3.0	0.0	1.0	49.0
êtes_VER:pres_être	3.0	1.0	1.0	5.0	0.0	8.0	2.0	1.0	0.0	0.0	1.0	0.0	2.0	7.0	3.0	0.0	1.0	2.0	3.0	5.0	2.0	1.0	1.0	49.0
faisait_VER:impf_faire	0.0	3.0	7.0	2.0	3.0	1.0	2.0	4.0	2.0	3.0	3.0	1.0	1.0	1.0	3.0	5.0	1.0	1.0	2.0	1.0	0.0	1.0	2.0	49.0
allait_VER:impf_aller	2.0	1.0	2.0	3.0	2.0	4.0	0.0	5.0	0.0	1.0	1.0	3.0	1.0	4.0	0.0	4.0	4.0	1.0	1.0	2.0	3.0	3.0	2.0	49.0
comtesse_NOM_comte	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	4.0	0.0	8.0	0.0	3.0	4.0	0.0	5.0	6.0	7.0	2.0	2.0	49.0
Dagomer_NAM_dagomer	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	10.0	4.0	4.0	15.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	48.0
seulement_ADV_seulement	2.0	2.0	4.0	3.0	1.0	1.0	4.0	2.0	2.0	4.0	3.0	1.0	4.0	3.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	48.0
heure_NOM_heure	1.0	1.0	6.0	4.0	9.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	3.0	3.0	0.0	0.0	48.0
chose_NOM_chose	0.0	4.0	1.0	2.0	5.0	4.0	5.0	2.0	0.0	1.0	4.0	2.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	1.0	2.0	1.0	0.0	48.0
francs_NOM_franc	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	5.0	4.0	4.0	0.0	2.0	15.0	5.0	3.0	0.0	1.0	0.0	47.0
lettre_NOM_lettre	0.0	0.0	0.0	0.0	6.0	1.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	12.0	1.0	0.0	0.0	0.0	3.0	6.0	7.0	47.0
