	Stolz_TresorNanette_0	Stolz_TresorNanette_1	Stolz_TresorNanette_2	Stolz_TresorNanette_3	Stolz_TresorNanette_4	Stolz_TresorNanette_5	Stolz_TresorNanette_6	Stolz_TresorNanette_7	Stolz_TresorNanette_8	Stolz_TresorNanette_9	Stolz_TresorNanette_10	Stolz_TresorNanette_11	Stolz_TresorNanette_sum
après_PRP_après	4.0	3.0	8.0	1.0	3.0	1.0	1.0	3.0	3.0	2.0	1.0	2.0	32.0
-là_ADV_là	5.0	4.0	3.0	1.0	1.0	2.0	2.0	4.0	1.0	5.0	4.0	0.0	32.0
entre_PRP_entre	4.0	2.0	5.0	3.0	3.0	2.0	6.0	3.0	0.0	1.0	3.0	0.0	32.0
vieux_ADJ_vieux	2.0	1.0	12.0	1.0	3.0	3.0	1.0	0.0	1.0	4.0	0.0	3.0	31.0
Oh_INT_oh	4.0	8.0	6.0	1.0	2.0	1.0	0.0	4.0	0.0	0.0	3.0	2.0	31.0
malheur_NOM_malheur	3.0	5.0	2.0	3.0	1.0	1.0	4.0	4.0	2.0	1.0	3.0	1.0	30.0
près_ADV_près	0.0	1.0	2.0	1.0	3.0	3.0	5.0	5.0	2.0	2.0	4.0	2.0	30.0
esprit_NOM_esprit	2.0	1.0	2.0	1.0	1.0	5.0	6.0	2.0	2.0	6.0	2.0	0.0	30.0
avaient_VER:impf_avoir	0.0	1.0	4.0	2.0	3.0	0.0	11.0	4.0	0.0	1.0	3.0	1.0	30.0
château_NOM_château	2.0	5.0	3.0	1.0	3.0	3.0	1.0	3.0	2.0	1.0	3.0	3.0	30.0
mains_NOM_main	2.0	3.0	2.0	4.0	6.0	1.0	1.0	5.0	1.0	1.0	3.0	1.0	30.0
voilà_ADV_voilà	2.0	5.0	5.0	2.0	2.0	4.0	1.0	2.0	1.0	4.0	1.0	1.0	30.0
bonheur_NOM_bonheur	2.0	2.0	1.0	2.0	2.0	1.0	0.0	4.0	4.0	4.0	5.0	3.0	30.0
assez_ADV_assez	1.0	0.0	4.0	6.0	2.0	4.0	3.0	1.0	1.0	2.0	3.0	2.0	29.0
sais_VER:pres_savoir	5.0	2.0	1.0	5.0	0.0	1.0	2.0	2.0	1.0	2.0	5.0	3.0	29.0
L'_DET:ART_le	4.0	4.0	2.0	4.0	1.0	3.0	2.0	1.0	4.0	0.0	3.0	1.0	29.0
Ah_INT_ah	1.0	3.0	3.0	2.0	2.0	5.0	6.0	1.0	2.0	0.0	2.0	2.0	29.0
ils_PRO:PER_il	1.0	2.0	1.0	2.0	2.0	10.0	1.0	2.0	1.0	2.0	4.0	1.0	29.0
souvent_ADV_souvent	1.0	1.0	2.0	2.0	3.0	3.0	3.0	1.0	2.0	5.0	3.0	3.0	29.0
joie_NOM_joie	3.0	1.0	3.0	0.0	2.0	6.0	1.0	4.0	1.0	1.0	3.0	3.0	28.0
agneau_NOM_agneau	1.0	1.0	1.0	16.0	2.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	28.0
Stéphanie_NAM_stéphanie	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	4.0	15.0	0.0	1.0	28.0
travail_NOM_travail	2.0	3.0	4.0	0.0	6.0	6.0	3.0	0.0	1.0	0.0	2.0	1.0	28.0
fond_NOM_fond	2.0	3.0	1.0	1.0	3.0	1.0	3.0	2.0	7.0	3.0	0.0	2.0	28.0
longtemps_ADV_longtemps	3.0	6.0	4.0	1.0	1.0	1.0	5.0	0.0	1.0	0.0	3.0	3.0	28.0
chambre_NOM_chambre	6.0	1.0	2.0	1.0	2.0	0.0	2.0	1.0	4.0	3.0	1.0	4.0	27.0
mieux_ADV_mieux	1.0	1.0	4.0	6.0	2.0	3.0	4.0	1.0	3.0	0.0	0.0	2.0	27.0
donner_VER:infi_donner	2.0	5.0	2.0	2.0	2.0	3.0	0.0	2.0	2.0	2.0	5.0	0.0	27.0
comment_ADV_comment	5.0	2.0	4.0	1.0	2.0	1.0	3.0	3.0	3.0	2.0	1.0	0.0	27.0
ni_KON_ni	3.0	4.0	0.0	1.0	0.0	2.0	3.0	5.0	7.0	2.0	0.0	0.0	27.0
nos_DET:POS_notre	0.0	3.0	1.0	0.0	9.0	2.0	0.0	4.0	2.0	0.0	3.0	2.0	26.0
Mlle_NOM_mademoiselle	1.0	0.0	0.0	1.0	2.0	0.0	4.0	3.0	4.0	8.0	1.0	2.0	26.0
trésor_NOM_trésor	8.0	1.0	9.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	0.0	3.0	26.0
terre_NOM_terre	2.0	1.0	1.0	0.0	4.0	5.0	1.0	5.0	1.0	1.0	4.0	1.0	26.0
Athénaïs_NAM_athénaïs	0.0	5.0	13.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	2.0	2.0	26.0
larmes_NOM_larme	4.0	2.0	3.0	1.0	4.0	0.0	1.0	3.0	0.0	4.0	2.0	2.0	26.0
celle_PRO:DEM_celui	4.0	1.0	3.0	3.0	7.0	1.0	1.0	1.0	0.0	3.0	2.0	0.0	26.0
air_NOM_air	4.0	2.0	1.0	3.0	1.0	3.0	1.0	1.0	4.0	2.0	4.0	0.0	26.0
Ce_PRO:DEM_ce	5.0	1.0	2.0	0.0	3.0	3.0	3.0	2.0	4.0	2.0	1.0	0.0	26.0
personne_NOM_personne	3.0	4.0	5.0	2.0	2.0	0.0	4.0	1.0	0.0	3.0	0.0	1.0	25.0
père_NOM_père	4.0	0.0	1.0	2.0	5.0	1.0	0.0	1.0	3.0	3.0	3.0	2.0	25.0
devant_PRP_devant	1.0	4.0	0.0	2.0	4.0	1.0	2.0	2.0	3.0	0.0	4.0	2.0	25.0
âge_NOM_âge	3.0	7.0	3.0	1.0	0.0	1.0	4.0	2.0	1.0	1.0	2.0	0.0	25.0
main_NOM_main	0.0	4.0	2.0	3.0	0.0	3.0	3.0	2.0	3.0	3.0	1.0	1.0	25.0
savait_VER:impf_savoir	8.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	0.0	0.0	24.0
presque_ADV_presque	4.0	1.0	5.0	0.0	2.0	3.0	0.0	1.0	3.0	1.0	3.0	1.0	24.0
eût_VER:subi_avoir	3.0	1.0	3.0	1.0	4.0	2.0	4.0	1.0	1.0	2.0	1.0	1.0	24.0
fête_NOM_fête	4.0	4.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	8.0	24.0
plaisir_NOM_plaisir	2.0	4.0	3.0	4.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	24.0
cause_NOM_cause	4.0	2.0	5.0	3.0	1.0	0.0	0.0	3.0	2.0	2.0	2.0	0.0	24.0
mois_NOM_moi|mois	3.0	1.0	0.0	2.0	2.0	4.0	2.0	6.0	2.0	0.0	2.0	0.0	24.0
étais_VER:impf_être	2.0	1.0	4.0	3.0	3.0	1.0	0.0	3.0	1.0	1.0	3.0	2.0	24.0
mit_VER:simp_mettre	5.0	2.0	1.0	1.0	1.0	4.0	3.0	1.0	2.0	2.0	0.0	2.0	24.0
t'_PRO:PER_te	0.0	1.0	0.0	2.0	4.0	0.0	2.0	5.0	1.0	4.0	4.0	1.0	24.0
Si_KON_si	0.0	1.0	0.0	5.0	2.0	1.0	0.0	3.0	3.0	1.0	4.0	3.0	23.0
mal_ADV_mal	7.0	1.0	2.0	2.0	0.0	1.0	2.0	0.0	2.0	4.0	1.0	1.0	23.0
rendre_VER:infi_rendre	2.0	0.0	3.0	4.0	3.0	4.0	2.0	1.0	1.0	0.0	2.0	1.0	23.0
aujourd'hui_ADV_aujourd'hui	0.0	2.0	2.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	7.0	6.0	23.0
pourtant_ADV_pourtant	2.0	8.0	0.0	2.0	2.0	2.0	3.0	2.0	1.0	0.0	1.0	0.0	23.0
leurs_DET:POS_leur	2.0	1.0	2.0	4.0	2.0	1.0	3.0	1.0	0.0	0.0	5.0	2.0	23.0
soir_NOM_soir	1.0	1.0	2.0	4.0	2.0	2.0	1.0	6.0	2.0	1.0	0.0	1.0	23.0
dis_VER:pres_dire	0.0	5.0	3.0	5.0	3.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	23.0
Quand_KON_quand	4.0	1.0	3.0	3.0	0.0	0.0	3.0	5.0	1.0	0.0	2.0	1.0	23.0
pendant_PRP_pendant	1.0	2.0	1.0	0.0	4.0	4.0	2.0	2.0	1.0	2.0	0.0	4.0	23.0
Un_DET:ART_un	2.0	3.0	1.0	1.0	2.0	2.0	0.0	4.0	2.0	4.0	1.0	1.0	23.0
ainsi_ADV_ainsi	3.0	2.0	3.0	1.0	1.0	3.0	2.0	1.0	0.0	2.0	3.0	1.0	22.0
-ce_PRO:DEM_ce	2.0	2.0	2.0	6.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0	3.0	22.0
eu_VER:pper_avoir	3.0	3.0	0.0	0.0	4.0	2.0	0.0	1.0	1.0	2.0	0.0	6.0	22.0
répondit_VER:simp_répondre	2.0	3.0	1.0	3.0	2.0	0.0	1.0	1.0	1.0	3.0	1.0	4.0	22.0
disait_VER:impf_dire	2.0	3.0	0.0	6.0	3.0	1.0	3.0	0.0	1.0	1.0	1.0	1.0	22.0
vite_ADV_vite	3.0	3.0	0.0	2.0	0.0	0.0	4.0	3.0	5.0	2.0	0.0	0.0	22.0
filles_NOM_fille	1.0	0.0	1.0	2.0	2.0	0.0	3.0	0.0	4.0	2.0	3.0	4.0	22.0
peut_VER:pres_pouvoir	2.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0	3.0	21.0
aime_VER:pres_aimer	0.0	1.0	4.0	4.0	1.0	3.0	1.0	0.0	4.0	1.0	1.0	1.0	21.0
prit_VER:simp_prendre	3.0	4.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	1.0	2.0	5.0	21.0
argent_NOM_argent	2.0	2.0	2.0	4.0	5.0	3.0	0.0	1.0	0.0	1.0	1.0	0.0	21.0
cet_PRO:DEM_ce	1.0	2.0	1.0	5.0	1.0	1.0	2.0	1.0	0.0	5.0	1.0	1.0	21.0
Tu_PRO:PER_tu	0.0	2.0	1.0	5.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	1.0	21.0
voyez_VER:pres_voir	0.0	4.0	7.0	3.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	2.0	21.0
feu_NOM_feu	1.0	5.0	0.0	1.0	1.0	0.0	9.0	3.0	0.0	0.0	0.0	1.0	21.0
Mais_KON_mais	4.0	3.0	3.0	1.0	1.0	2.0	3.0	0.0	1.0	3.0	0.0	0.0	21.0
avais_VER:impf_avoir	3.0	1.0	2.0	2.0	4.0	0.0	0.0	2.0	2.0	2.0	1.0	1.0	20.0
mademoiselle_NOM_mademoiselle	0.0	1.0	5.0	1.0	3.0	2.0	0.0	1.0	1.0	0.0	2.0	4.0	20.0
Non_ADV_non	7.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	2.0	1.0	20.0
pauvre_NOM_pauvre	1.0	7.0	0.0	3.0	0.0	0.0	4.0	0.0	2.0	1.0	1.0	1.0	20.0
aimait_VER:impf_aimer	2.0	1.0	1.0	8.0	3.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	20.0
petits_ADJ_petit	3.0	0.0	1.0	1.0	2.0	5.0	0.0	5.0	0.0	2.0	0.0	1.0	20.0
soins_NOM_soin	2.0	0.0	2.0	1.0	4.0	1.0	1.0	1.0	2.0	3.0	1.0	2.0	20.0
ayant_VER:ppre_avoir	0.0	1.0	3.0	1.0	2.0	4.0	2.0	2.0	0.0	3.0	1.0	1.0	20.0
regard_NOM_regard	3.0	1.0	0.0	2.0	5.0	0.0	3.0	1.0	1.0	2.0	0.0	2.0	20.0
coup_NOM_coup	1.0	1.0	0.0	2.0	1.0	2.0	4.0	1.0	3.0	3.0	0.0	2.0	20.0
sera_VER:futu_être	2.0	2.0	2.0	2.0	1.0	1.0	0.0	3.0	4.0	2.0	0.0	1.0	20.0
trouve_VER:pres_trouver	1.0	0.0	4.0	0.0	0.0	0.0	4.0	2.0	2.0	2.0	3.0	2.0	20.0
Nous_PRO:PER_nous	0.0	3.0	5.0	1.0	0.0	0.0	1.0	7.0	0.0	2.0	0.0	1.0	20.0
village_NOM_village	2.0	2.0	0.0	5.0	0.0	2.0	2.0	3.0	0.0	0.0	3.0	1.0	20.0
pas_NOM_pas	3.0	1.0	0.0	2.0	2.0	3.0	1.0	3.0	1.0	1.0	2.0	1.0	20.0
vois_VER:pres_voir	3.0	1.0	2.0	2.0	2.0	0.0	1.0	4.0	1.0	1.0	2.0	1.0	20.0
mal_NOM_mal	0.0	1.0	1.0	3.0	2.0	3.0	3.0	2.0	1.0	1.0	3.0	0.0	20.0
déjà_ADV_déjà	0.0	2.0	2.0	2.0	4.0	2.0	1.0	2.0	0.0	0.0	3.0	1.0	19.0
vu_VER:pper_voir	2.0	3.0	1.0	4.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	3.0	19.0
parle_VER:pres_parler	4.0	0.0	8.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	3.0	19.0
Nounou_NAM_nounou	6.0	2.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	19.0
donné_VER:pper_donner	1.0	1.0	2.0	3.0	3.0	0.0	1.0	3.0	0.0	1.0	1.0	3.0	19.0
vrai_ADJ_vrai	0.0	5.0	2.0	0.0	1.0	2.0	0.0	2.0	0.0	3.0	4.0	0.0	19.0
malheureuse_ADJ_malheureux	2.0	0.0	1.0	2.0	4.0	0.0	1.0	1.0	2.0	0.0	3.0	3.0	19.0
Jacques_NAM_jacques	2.0	0.0	0.0	0.0	0.0	1.0	6.0	4.0	0.0	0.0	5.0	1.0	19.0
voyait_VER:impf_voir	1.0	3.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	3.0	1.0	19.0
doux_ADJ_doux	1.0	2.0	1.0	1.0	2.0	0.0	1.0	2.0	0.0	1.0	4.0	4.0	19.0
place_NOM_place	2.0	3.0	1.0	1.0	0.0	3.0	0.0	2.0	2.0	2.0	1.0	2.0	19.0
ceux_PRO:DEM_celui	2.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	19.0
Vous_PRO:PER_vous	2.0	3.0	2.0	3.0	2.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	19.0
ciel_NOM_ciel	3.0	0.0	1.0	0.0	2.0	0.0	0.0	5.0	1.0	0.0	4.0	3.0	19.0
Eh_INT_eh	3.0	2.0	3.0	5.0	1.0	0.0	0.0	2.0	2.0	1.0	0.0	0.0	19.0
courage_NOM_courage	1.0	2.0	0.0	3.0	2.0	2.0	1.0	2.0	3.0	2.0	1.0	0.0	19.0
oui_INT_oui	1.0	5.0	1.0	3.0	0.0	1.0	2.0	2.0	2.0	1.0	0.0	1.0	19.0
André_NAM_andré	2.0	0.0	0.0	1.0	0.0	0.0	5.0	5.0	0.0	0.0	3.0	2.0	18.0
ménage_NOM_ménage	4.0	1.0	2.0	2.0	0.0	0.0	1.0	2.0	0.0	1.0	5.0	0.0	18.0
serait_VER:cond_être	2.0	1.0	3.0	0.0	1.0	2.0	1.0	1.0	2.0	0.0	2.0	3.0	18.0
aurait_VER:cond_avoir	2.0	6.0	0.0	2.0	2.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	18.0
amie_NOM_ami	1.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	1.0	3.0	2.0	4.0	18.0
rire_VER:infi_rire	1.0	1.0	1.0	0.0	1.0	1.0	8.0	2.0	1.0	1.0	1.0	0.0	18.0
ici_ADV_ici	0.0	1.0	1.0	2.0	1.0	0.0	0.0	3.0	1.0	5.0	0.0	4.0	18.0
mettre_VER:infi_mettre	2.0	2.0	2.0	1.0	3.0	3.0	1.0	1.0	0.0	1.0	1.0	1.0	18.0
côté_NOM_côté	3.0	1.0	2.0	0.0	1.0	1.0	0.0	2.0	3.0	1.0	4.0	0.0	18.0
suite_NOM_suite	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	3.0	1.0	0.0	18.0
part_NOM_part	2.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	1.0	2.0	18.0
leur_PRO:PER_lui	2.0	1.0	0.0	2.0	1.0	3.0	2.0	2.0	0.0	0.0	4.0	1.0	18.0
ailleurs_ADV_ailleurs	4.0	1.0	0.0	3.0	0.0	1.0	3.0	0.0	2.0	2.0	1.0	1.0	18.0
porte_NOM_porte	1.0	0.0	0.0	2.0	1.0	3.0	0.0	1.0	2.0	4.0	2.0	2.0	18.0
voulait_VER:impf_vouloir	0.0	0.0	4.0	3.0	2.0	3.0	0.0	0.0	2.0	2.0	1.0	1.0	18.0
triste_ADJ_triste	3.0	5.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	18.0
mémoire_NOM_mémoire	0.0	0.0	2.0	1.0	3.0	1.0	2.0	3.0	2.0	2.0	2.0	0.0	18.0
bonnes_ADJ_bon	1.0	4.0	3.0	1.0	0.0	3.0	2.0	0.0	0.0	2.0	1.0	1.0	18.0
fini_VER:pper_finir	0.0	1.0	1.0	0.0	1.0	2.0	1.0	2.0	4.0	2.0	4.0	0.0	18.0
jeunes_ADJ_jeune	2.0	0.0	0.0	1.0	2.0	0.0	2.0	1.0	4.0	1.0	1.0	4.0	18.0
peur_NOM_peur	1.0	2.0	0.0	2.0	4.0	1.0	3.0	0.0	1.0	3.0	0.0	0.0	17.0
fallait_VER:impf_falloir	5.0	5.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	2.0	17.0
voix_NOM_voix	1.0	2.0	0.0	1.0	1.0	0.0	0.0	3.0	2.0	2.0	3.0	2.0	17.0
plaisirs_NOM_plaisir	0.0	1.0	1.0	0.0	0.0	0.0	3.0	8.0	3.0	1.0	0.0	0.0	17.0
ton_DET:POS_ton	4.0	1.0	1.0	1.0	5.0	2.0	1.0	0.0	0.0	0.0	1.0	1.0	17.0
bras_NOM_bras	1.0	3.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	1.0	4.0	17.0
chaque_PRO:IND_chaque	1.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	5.0	2.0	2.0	0.0	17.0
genoux_NOM_genou	3.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	0.0	4.0	1.0	2.0	17.0
avons_VER:pres_avoir	2.0	2.0	0.0	3.0	0.0	0.0	1.0	5.0	0.0	2.0	1.0	1.0	17.0
malgré_PRP_malgré	1.0	3.0	0.0	0.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	17.0
dit-elle_NOM_dit-elle	4.0	1.0	0.0	3.0	1.0	0.0	1.0	1.0	1.0	2.0	0.0	3.0	17.0
seul_ADJ_seul	3.0	0.0	1.0	1.0	2.0	0.0	0.0	3.0	1.0	3.0	1.0	2.0	17.0
aurais_VER:cond_avoir	2.0	0.0	2.0	1.0	4.0	0.0	0.0	2.0	5.0	1.0	0.0	0.0	17.0
raison_NOM_raison	0.0	3.0	1.0	4.0	0.0	0.0	3.0	3.0	1.0	1.0	0.0	1.0	17.0
seulement_ADV_seulement	1.0	3.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	17.0
Loulou_NOM_loulou	0.0	1.0	0.0	5.0	3.0	1.0	0.0	3.0	1.0	0.0	1.0	2.0	17.0
gens_NOM_gens	0.0	3.0	1.0	5.0	0.0	0.0	0.0	4.0	1.0	2.0	0.0	1.0	17.0
doit_VER:pres_devoir	2.0	1.0	1.0	3.0	2.0	1.0	2.0	1.0	2.0	0.0	1.0	1.0	17.0
chagrin_NOM_chagrin	1.0	3.0	1.0	2.0	3.0	0.0	3.0	0.0	1.0	1.0	2.0	0.0	17.0
heures_NOM_heure	1.0	0.0	3.0	1.0	2.0	2.0	3.0	0.0	0.0	2.0	0.0	2.0	16.0
intérieur_NOM_intérieur	1.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	2.0	2.0	2.0	16.0
bien_NOM_bien	1.0	0.0	1.0	2.0	0.0	3.0	0.0	2.0	3.0	2.0	2.0	0.0	16.0
passer_VER:infi_passer	1.0	0.0	2.0	1.0	2.0	1.0	4.0	0.0	1.0	1.0	2.0	1.0	16.0
volonté_NOM_volonté	2.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	3.0	1.0	1.0	0.0	16.0
présent_ADJ_présent	2.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	4.0	0.0	2.0	0.0	16.0
-ci_ADV_-ci	0.0	2.0	2.0	3.0	2.0	3.0	2.0	0.0	0.0	2.0	0.0	0.0	16.0
pense_VER:pres_penser	1.0	0.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	16.0
allait_VER:impf_aller	3.0	1.0	0.0	3.0	1.0	1.0	3.0	0.0	0.0	1.0	1.0	2.0	16.0
puisque_KON_puisque	3.0	2.0	0.0	2.0	2.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	16.0
premier_NUM_premier	1.0	0.0	0.0	1.0	1.0	4.0	4.0	0.0	3.0	0.0	1.0	1.0	16.0
dès_PRP_dès	1.0	1.0	2.0	0.0	2.0	3.0	2.0	0.0	1.0	2.0	2.0	0.0	16.0
dame_NOM_dame	1.0	5.0	5.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	16.0
vient_VER:pres_venir	0.0	1.0	0.0	1.0	0.0	2.0	3.0	5.0	1.0	0.0	1.0	2.0	16.0
celui_PRO:DEM_celui	1.0	1.0	0.0	1.0	0.0	4.0	2.0	0.0	2.0	0.0	5.0	0.0	16.0
font_VER:pres_faire	1.0	2.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	3.0	1.0	2.0	16.0
sœur_NOM_sœur	0.0	0.0	1.0	0.0	0.0	1.0	4.0	4.0	1.0	4.0	1.0	0.0	16.0
charité_NOM_charité	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	6.0	2.0	3.0	16.0
aimer_VER:infi_aimer	0.0	0.0	2.0	2.0	5.0	1.0	0.0	0.0	3.0	0.0	2.0	1.0	16.0
vos_DET:POS_votre	1.0	1.0	1.0	0.0	1.0	2.0	1.0	0.0	5.0	2.0	0.0	2.0	16.0
chemin_NOM_chemin	0.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	3.0	3.0	4.0	1.0	16.0
ta_DET:POS_ton	3.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	0.0	1.0	3.0	2.0	16.0
table_NOM_table	1.0	0.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	3.0	3.0	3.0	15.0
loin_ADV_loin	1.0	0.0	0.0	3.0	2.0	1.0	3.0	3.0	0.0	2.0	0.0	0.0	15.0
mis_VER:pper_mettre	0.0	0.0	2.0	0.0	0.0	2.0	3.0	5.0	0.0	3.0	0.0	0.0	15.0
lit_NOM_lit	5.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	15.0
pan_NOM_pan	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	15.0
autant_ADV_autant	1.0	2.0	1.0	0.0	1.0	3.0	1.0	2.0	2.0	1.0	0.0	1.0	15.0
trouver_VER:infi_trouver	1.0	1.0	2.0	0.0	0.0	1.0	3.0	1.0	2.0	3.0	0.0	1.0	15.0
venait_VER:impf_venir	2.0	1.0	0.0	1.0	2.0	0.0	3.0	2.0	0.0	0.0	2.0	2.0	15.0
voit_VER:pres_voir	0.0	1.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	4.0	3.0	0.0	15.0
Comment_ADV_comment	0.0	3.0	5.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	15.0
manquait_VER:impf_manquer	2.0	2.0	1.0	2.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	2.0	15.0
tard_ADV_tard	1.0	1.0	0.0	1.0	0.0	3.0	2.0	0.0	1.0	5.0	1.0	0.0	15.0
-je_PRO:PER_je	0.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	3.0	0.0	6.0	0.0	15.0
vit_VER:pres_vivre	1.0	1.0	1.0	1.0	2.0	1.0	3.0	0.0	1.0	1.0	0.0	3.0	15.0
besoin_NOM_besoin	0.0	1.0	0.0	0.0	1.0	4.0	2.0	1.0	1.0	1.0	0.0	4.0	15.0
confiance_NOM_confiance	2.0	1.0	0.0	4.0	1.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	15.0
petites_ADJ_petit	3.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	15.0
riche_ADJ_riche	2.0	0.0	0.0	0.0	3.0	3.0	2.0	0.0	1.0	1.0	2.0	1.0	15.0
êtes_VER:pres_être	2.0	0.0	2.0	1.0	1.0	4.0	0.0	1.0	0.0	1.0	0.0	3.0	15.0
cent_NUM_cent	3.0	1.0	0.0	1.0	1.0	2.0	1.0	4.0	0.0	1.0	0.0	1.0	15.0
mot_NOM_mot	1.0	2.0	0.0	2.0	2.0	1.0	2.0	1.0	1.0	3.0	0.0	0.0	15.0
ouvrage_NOM_ouvrage	2.0	1.0	3.0	2.0	1.0	0.0	2.0	3.0	0.0	1.0	0.0	0.0	15.0
-moi_PRO:PER_moi	2.0	1.0	0.0	1.0	4.0	3.0	1.0	0.0	0.0	1.0	2.0	0.0	15.0
affaires_NOM_affaire	1.0	2.0	1.0	0.0	3.0	3.0	2.0	1.0	0.0	1.0	1.0	0.0	15.0
pays_NOM_pays	0.0	6.0	3.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	15.0
sommes_VER:pres_sommer|être	2.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	15.0
jardin_NOM_jardin	2.0	0.0	0.0	0.0	5.0	3.0	0.0	3.0	0.0	1.0	1.0	0.0	15.0
treize_NUM_treize	5.0	6.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0
jolie_ADJ_joli	1.0	2.0	3.0	1.0	0.0	2.0	2.0	1.0	0.0	2.0	0.0	0.0	14.0
quatre_NUM_quatre	1.0	2.0	1.0	3.0	1.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	14.0
abord_NOM_abord	2.0	1.0	0.0	2.0	3.0	1.0	2.0	0.0	1.0	1.0	1.0	0.0	14.0
lait_NOM_lait	1.0	2.0	0.0	2.0	1.0	6.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
Sainte-Foy_NAM_sainte-foy	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	2.0	1.0	3.0	2.0	14.0
semblait_VER:impf_sembler	2.0	1.0	0.0	2.0	2.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	14.0
efforts_NOM_effort	0.0	0.0	0.0	2.0	0.0	1.0	1.0	3.0	1.0	1.0	1.0	4.0	14.0
manière_NOM_manière	1.0	1.0	2.0	1.0	1.0	2.0	0.0	1.0	0.0	3.0	2.0	0.0	14.0
eut_VER:simp_avoir	1.0	1.0	4.0	1.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	14.0
milieu_NOM_milieu	2.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	3.0	1.0	1.0	2.0	14.0
demoiselle_NOM_demoiselle	0.0	1.0	3.0	4.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	2.0	14.0
pleurer_VER:infi_pleurer	2.0	1.0	1.0	4.0	1.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	14.0
